id	name	QID	dvp_id	start time	end time	point in time
dvp_024_event_0	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_024_event_1	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_024_event_2	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_024_event_3	World War I	Q361		1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_024_event_4	World War I	Q361		1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_024_event_5	World War I	Q361		1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_024_event_6	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_024_event_7	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_8	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_9	Cuban Missile Crisis	Q128160		1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_024_event_10	assassination of John F. Kennedy	Q193484				1963-11-22T00:00:00Z
dvp_024_event_11	World War I	Q361		1914-07-28T00:00:00Z	1918-11-11T00:00:00Z	
dvp_024_event_12	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_13	Gulf of Tonkin incident	Q482402		1964-08-02T00:00:00Z	1964-08-04T00:00:00Z	
dvp_024_event_14	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_15	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_024_event_16	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_17	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_18	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_024_event_19	Battle of Dien Bien Phu	Q604897		1954-03-13T00:00:00Z	1954-05-07T00:00:00Z	
dvp_024_event_20	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_024_event_21	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_22	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_23	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_024_event_24	Cuban Missile Crisis	Q128160		1962-10-14T00:00:00Z	1962-10-28T00:00:00Z	
dvp_024_event_25	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_26	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_27	March of Washington [for Jobs and Freedom, May 1970]					
dvp_024_event_28	Woodstock Festival	Q164815		1969-08-15T00:00:00Z	1969-08-18T00:00:00Z	
dvp_024_event_29	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_30	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_31	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_32	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_33	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_024_event_34	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_024_event_35	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_024_event_36	World War II	Q362		1939-09-01T00:00:00Z	1945-09-02T00:00:00Z	
dvp_024_event_37	Korean War	Q8663		1950-06-25T00:00:00Z	1953-07-27T00:00:00Z	
dvp_024_event_38	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_39	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_024_event_40	Tet Offensive	Q82542		1968-01-30T00:00:00Z	1968-09-23T00:00:00Z	
dvp_024_event_41	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_42	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_43	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_44	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_45	Battle of Khe Sanh	Q247253		1968-01-21T00:00:00Z	1968-04-08T00:00:00Z	
dvp_024_event_46	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_47	My Lai Massacre	Q183421				1968-03-16T00:00:00Z
dvp_024_event_48	Vietnam War	Q8740		1959-01-01T00:00:00Z	1975-04-30T00:00:00Z	
dvp_024_event_49	Chinese invasion					
